ID,Latitude,Longitude,Dataset,Datum,Error Radius (m),Accuracy: Square Meters,Plant,Observer,Date,Source,County,Location Description,Location Quality,Citation
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po247845,35.707402,-117.893768,mgr,WGS84,5,79,Peritoma arborea var. arborea,Richard Spjut,2019-03-28,World Botanical Associates/CNPS Kern Chapter (field trip),Kern,"Western Mojave Desert, Southern Sierra Nevada: Short Canyon, road crossing large sandy wash dominated by bladderpod and other shrubs. Ericameria linearifolia-Cleome isomeris shurbland alliance recognized by the CNPS vegetation group, but no vegetation assessment made at this site.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io60926,37.972963,-121.837088,mgr,WGS84,4,50,Phacelia ciliata,Catherine Chang,2022-02-20,East Bay Chapter CNPS Unusual Plants,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po247845,35.707402,-117.893768,mgr,WGS84,5,79,Peritoma arborea var. arborea,Richard Spjut,2019-03-28,World Botanical Associates/CNPS Kern Chapter (field trip),Kern,"Western Mojave Desert, Southern Sierra Nevada: Short Canyon, road crossing large sandy wash dominated by bladderpod and other shrubs. Ericameria linearifolia-Cleome isomeris shurbland alliance recognized by the CNPS vegetation group, but no vegetation assessment made at this site.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io60926,37.972963,-121.837088,mgr,WGS84,4,50,Phacelia ciliata,Catherine Chang,2022-02-20,East Bay Chapter CNPS Unusual Plants,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po247845,35.707402,-117.893768,mgr,WGS84,5,79,Peritoma arborea var. arborea,Richard Spjut,2019-03-28,World Botanical Associates/CNPS Kern Chapter (field trip),Kern,"Western Mojave Desert, Southern Sierra Nevada: Short Canyon, road crossing large sandy wash dominated by bladderpod and other shrubs. Ericameria linearifolia-Cleome isomeris shurbland alliance recognized by the CNPS vegetation group, but no vegetation assessment made at this site.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io60926,37.972963,-121.837088,mgr,WGS84,4,50,Phacelia ciliata,Catherine Chang,2022-02-20,East Bay Chapter CNPS Unusual Plants,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io60926,37.972963,-121.837088,mgr,WGS84,4,50,Phacelia ciliata,Catherine Chang,2022-02-20,East Bay Chapter CNPS Unusual Plants,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po247845,35.707402,-117.893768,mgr,WGS84,5,79,Peritoma arborea var. arborea,Richard Spjut,2019-03-28,World Botanical Associates/CNPS Kern Chapter (field trip),Kern,"Western Mojave Desert, Southern Sierra Nevada: Short Canyon, road crossing large sandy wash dominated by bladderpod and other shrubs. Ericameria linearifolia-Cleome isomeris shurbland alliance recognized by the CNPS vegetation group, but no vegetation assessment made at this site.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io60926,37.972963,-121.837088,mgr,WGS84,4,50,Phacelia ciliata,Catherine Chang,2022-02-20,East Bay Chapter CNPS Unusual Plants,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io60926,37.972963,-121.837088,mgr,WGS84,4,50,Phacelia ciliata,Catherine Chang,2022-02-20,East Bay Chapter CNPS Unusual Plants,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po247845,35.707402,-117.893768,mgr,WGS84,5,79,Peritoma arborea var. arborea,Richard Spjut,2019-03-28,World Botanical Associates/CNPS Kern Chapter (field trip),Kern,"Western Mojave Desert, Southern Sierra Nevada: Short Canyon, road crossing large sandy wash dominated by bladderpod and other shrubs. Ericameria linearifolia-Cleome isomeris shurbland alliance recognized by the CNPS vegetation group, but no vegetation assessment made at this site.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io60926,37.972963,-121.837088,mgr,WGS84,4,50,Phacelia ciliata,Catherine Chang,2022-02-20,East Bay Chapter CNPS Unusual Plants,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io60926,37.972963,-121.837088,mgr,WGS84,4,50,Phacelia ciliata,Catherine Chang,2022-02-20,East Bay Chapter CNPS Unusual Plants,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po247845,35.707402,-117.893768,mgr,WGS84,5,79,Peritoma arborea var. arborea,Richard Spjut,2019-03-28,World Botanical Associates/CNPS Kern Chapter (field trip),Kern,"Western Mojave Desert, Southern Sierra Nevada: Short Canyon, road crossing large sandy wash dominated by bladderpod and other shrubs. Ericameria linearifolia-Cleome isomeris shurbland alliance recognized by the CNPS vegetation group, but no vegetation assessment made at this site.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
